name,url,titles,images,words,tags,common_words
"UAE travellers want sustainable trips but cost is a barrier, survey finds",https://www.thenationalnews.com/travel/2023/05/01/uae-travellers-want-sustainable-trips-but-cost-is-a-barrier-survey-finds/,15,3,531,"['Travel', 'Arabian Travel Market', 'Responsible Tourism']",to
Emirates to launch premium economy on A380 flights to India,https://www.thenationalnews.com/travel/2023/06/13/emirates-premium-economy-a380-india-flights/,15,19,357,"['Travel', 'Airlines', 'Dubai', 'India']",and
Summer solstice 2023: Stonehenge gears up for longest day of the year,https://www.thenationalnews.com/travel/2023/06/21/summer-solstice-2023/,36,7,1069,"['Travel', 'England', 'Travel news']",of
Towering Rixos Marina Abu Dhabi offers family fun and endless relaxation — Hotel Insider,https://www.thenationalnews.com/travel/2023/04/15/towering-rixos-marina-abu-dhabi-offers-family-fun-and-endless-relaxation-hotel-insider/,36,25,1370,"['Travel', 'Hotel insider', 'Staycations']",and
"Summer holiday deals, from Cebu Pacific's 'Dh1' fare to Etihad Airways' flight sale",https://www.thenationalnews.com/travel/2023/06/13/summer-holiday-deals-from-cebu-pacifics-dh1-fare-to-etihad-airways-flight-sale/,25,5,694,"['Travel', 'Airlines', 'Cebu Pacific', 'Emirates']",to
"Emirates is world's best airline for flying premium economy, says Skytrax",https://www.thenationalnews.com/travel/2023/06/21/emirates-is-worlds-best-airline-for-flying-premium-economy-says-skytrax/,13,19,392,"['Travel', 'Airlines', 'Emirates', 'Dubai']",in
The 10 best Wes Anderson-inspired Airbnb stays ahead of Asteroid City release,https://www.thenationalnews.com/travel/2023/06/15/the-10-best-wes-anderson-inspired-airbnb-stays-ahead-of-asteroid-city-release/,35,21,1287,"['Travel', 'Travel news']",and
"Designs revealed for Dubai Reefs, world’s largest ocean restoration and ecotourism project",https://www.thenationalnews.com/travel/2023/05/09/designs-revealed-for-dubai-reefs-worlds-largest-ocean-restoration-and-ecotourism-project/,23,16,747,"['Travel', 'Responsible Tourism', 'Dubai', 'Architecture']",and
Fifty years of Project Tiger and India's commitment to the big cats,https://www.thenationalnews.com/travel/2023/04/25/fifty-years-of-project-tiger-and-indias-commitment-to-the-big-cats/,21,4,833,"['Responsible Tourism', 'Conservation', 'Destinations', 'India']",of
"Nine things to see and do in Khor Fakkan, from waterfalls and beaches to mountainous hikes",https://www.thenationalnews.com/travel/2023/03/10/nine-things-to-see-and-do-in-khor-fakkan-from-waterfalls-and-beaches-to-mountainous-hikes/,23,10,932,"['Travel', 'Staycations']",and
Qasr Al Sarab Desert Resort exudes tranquillity and old-world charm — Hotel Insider,https://www.thenationalnews.com/travel/hotels/2023/04/02/qasr-al-sarab-desert-resort-exudes-tranquillity-and-old-world-charm-hotel-insider/,32,20,1082,['Staycations'],and
Qantas unveils new A350 Project Sunrise cabin with world’s first in-flight Wellbeing Zone,https://www.thenationalnews.com/travel/2023/06/16/qantas-unveils-new-a350-project-sunrise-cabin-with-worlds-first-in-flight-wellbeing-zone/,22,13,600,"['Travel', 'Aviation', 'Airlines', 'Qantas']",and
"Last-minute Eid staycation deals in Dubai, Abu Dhabi, Ajman and Ras Al Khaimah",https://www.thenationalnews.com/travel/2023/06/20/last-minute-eid-staycation-deals-in-dubai-abu-dhabi-hatta-ajman-and-ras-al-khaimah/,29,8,999,"['Travel', 'Eid Al Adha 2023', 'Dubai', 'Abu Dhabi']",and
"Saudi Arabia to open Azulik AlUla, an otherworldly eco-resort in the desert",https://www.thenationalnews.com/travel/2023/05/23/saudi-arabia-to-open-azulik-alula-an-otherworldly-eco-resort-in-the-desert/,16,9,471,"['Travel', 'Saudi Arabia', 'Responsible Tourism', 'Hotels']",and
Why are flights so expensive right now and how to find cheaper airfares,https://www.thenationalnews.com/travel/2023/05/31/why-are-flights-so-expensive-right-now-and-how-to-find-cheaper-airfares/,52,8,1630,"['Travel', 'Tourism', 'Flight Sale', 'Travel news']",to
Summer travel rush takes off as June 24 is expected to be busiest day to fly out of Dubai,https://www.thenationalnews.com/travel/2023/06/20/peak-summer-travel-35-million-people-to-fly-through-dubai-ahead-of-eid-and-school-break/,22,5,606,"['Travel', 'Travel news', 'Emirates', 'Flydubai']",to
